COMPONENT;KEY;EN;NL
DEF;City;City;Stad
DEF;Collaterals;Collaterals;Zekerheden
DEF;Country;Country;Land
DEF;Country code;Country code;Landcode
DEF;Define product details;Define product details;Definieer uw productgegevens
DEF;Discount (The value which cannot be used of the object);Discount (The value which cannot be used of the object);Totaalbedrag van deze eerdere inschrijvingen
DEF;Facility reference code;Facility reference code;Referentiecode faciliteit
DEF;Facility Roletype;Facility Roletype;Roltype faciliteit
DEF;Graceperiod;Graceperiod;Aantal maanden uitstel voor het eerste termijn
DEF;Interest periodicity;Interest periodicity;Periodiciteit van het renteproduct
DEF;Interest product reference code;Interest product reference code;Referentiecode van het renteproduct
DEF;Product request;Product request;Product­aanvraag
DEF;Product reference code;Product reference code;Referentiecode product
DEF;Product selection;Product selection;Productselectie
DEF;Product tenor ends at;Product tenor ends at;Uw financiering zal eindigen op
DEF;Rank of subscription;Rank of subscription;Hoeveel eerdere inschrijvingen zijn er op deze zekerheid?
DEF;Referencenumber of Counterparty as Borrower (CoC);Referencenumber of Counterparty as Borrower (CoC);Referentienummer van de financieringsaanvrager (KVK)
DEF;Referencenumber of Counterparty as Main Borrower (CoC);Referencenumber of Counterparty as Main Borrower (CoC);Referentienummer van de hoofd financieringsaanvrager (KVK)
DEF;Repayment periodicity;Repayment periodicity;Aflosfrequentie
DEF;Repayment type;Repayment type;Aflosvorm
DEF;Select a start date;Select a start date;Wanneer wilt u kunnen beschikken over de financiering?
DEF;Specify the amount you want to borrow;Specify the amount you want to borrow;Specificeer hoeveel u wilt lenen
DEF;Specify your desired tenor in months;Specify your desired tenor in months;Specificeer de looptijd in maanden
DEF;This object is already used as collateral for another loan?;Is this object already used as collateral for another loan?;Wordt de zekerheid al gebruikt als onderpand bij een andere lening?
DEF;Withdrawal type;Withdrawal type;Opnamevorm
DEF;Type request;Type request;Gevraagde financiering
DEF;Type organisation;Type organisation;Gegevens onderneming
DEF;COC number;COC number;KvK nummer
DEF;Starting organisation?;Starting organisation?;Startende onderneming?
DEF;Date of founding;Date of founding;Oprichtingsdatum
DEF;Sector of industry/SBI code;Sector of industry/SBI code;Sectorcode
DEF;Secondary sector of industry/SBI code;Secondary sector of industry/SBI code;Secundaire sectorcode
DEF;Number of FTE (last year);Number of FTE (last year);Aantal FTE laatste jaar
DEF;Founded under Dutch law?;Founded under Dutch law?;Opgericht onder Nederlands recht?
DEF;A minimum of 50% operational revenue realised in the Netherlands?;A minimum of 50% operational revenue realised in the Netherlands?;Is minimaal 50% van het operationele resultaat behaald in Nederland?
DEF;Business to Business market?;Business to Business market?;Actief in B2B
DEF;Business to Consumer market?;Business to Consumer market?;Actief in B2C
DEF;Products and/or services will be paid after delivery;Products and/or services will be paid after delivery;Producten en/of diensten worden na levering betaald
DEF;General data;General data;Algemene gegevens
DEF;Details applicant;Details applicant;Gegevens aanvrager
DEF;Initials;Initials;Initialen
DEF;Last name;Last name;Naam
DEF;Gender;Gender;Geslacht
DEF;Date of birth;Date of birth;Geboortedatum
DEF;Nationality;Nationality;Nationaliteit
DEF;Street name;Street name;Straat
DEF;Housenumber;Housenumber;Huisnummer
DEF;Housenumber addition;Housenumber addition;Huisnummer toevoeging
DEF;Zip code;Zip code;Postcode
DEF;Phone number;Phone number;Telefoonnummer
DEF;Email address;Email address;E-mail adres
DEF;Name organisation;Name organisation;Naam onderneming
DEF;Legal form;Legal form;Rechtsvorm
DEF;COC status;COC status;KvK status
DEF;Involved with bankruptcy?;Involved with bankruptcy?;Betrokken geweest bij een faillissement?
DEF;Website;Website;Website
DEF;Details intermediary;Details intermediary;Gegevens tussenpersoon
DEF;Please fill in the details of the applicant.;Please fill in the details of the applicant.;Voer de gegevens van de aanvrager in.
DEF;Please fill in the details of the intermediary.;Please fill in the details of the intermediary.;Voer de gegevens van de tussenpersoon in.
DEF;Please fill in the general information of the organisation which is applying for funding.;Please fill in the general information of the organisation which is applying for funding.;Voer de gegevens over de onderneming in waarop de financieringsaanvraag betrekking heeft.
DEF;Function;Function;Functie
DEF;Title;Title;Titel
DEF;Profile of the organisation;Profile of the organisation;Profiel van de onderneming
DEF;The organisation;The organisation;De onderneming
DEF;Mission, vision and strategy;Mission, vision and strategy;Missie, visie en strategie
DEF;History;History;Historie
DEF;Products and/or Services;Products and/or Services;Producten en/of diensten
DEF;Which products and/or services does the organisation deliver?;Which products and/or services does the organisation deliver?;Welke producten en/of diensten levert de onderneming?
DEF;Please give a description of the revenue model;Please give a description of the revenue model;Geef een omschrijving van het verdienmodel
DEF;What is the uniqueness of the products and/or services?;What is the uniqueness of the products and/or services?;Wat is de uniciteit van de producten en/of diensten?
DEF;Please give a description of the uniqueness;Please give a description of the uniqueness;Geef een omschrijving van de uniciteit
DEF;Market position;Market position;Marktpositie
DEF;In which market does the organisation operate?;In which market does the organisation operate?;In welke markt begeeft de onderneming zich?
DEF;Does the organisation serve a new market?;Does the organisation serve a new market?;Bedient de onderneming een nieuwe markt?
DEF;Please give a description of the expected market development;Please give a description of the expected market development;Geef een omschrijving van de verwachte marktontwikkeling
DEF;Competition;Competition;Concurrentie
DEF;How strong is the competitive positioning?;How strong is the competitive positioning?;Hoe sterk is de concurrentiepositie?
DEF;Please give a description of the competitive positioning;Please give a description of the competitive positioning;Geef een omschrijving van de concurrentiepositie
DEF;Sensitivity;Sensitivity;Marktgevoeligheid
DEF;Is the organisation sensitive to economic fluctuations?;Is the organisation sensitive to economic fluctuations?;Is de onderneming conjunctuurgevoelig?
DEF;Please give a description of the sensitivity to economic fluctuations;Please give a description of the sensitivity to economic fluctuations;Geef een omschrijving van de conjunctuurgevoeligheid
DEF;Suppliers and customers;Suppliers and customers;Leveranciers en klanten
DEF;How dependent is the organisation from their suppliers?;How dependent is the organisation from their suppliers?;Hoe afhankelijk is de onderneming van haar leveranciers?
DEF;Please give a description of the dependency of suppliers;Please give a description of the dependency of suppliers;Geef een omschrijving van de afhankelijkheid van deze leveranciers
DEF;How dependent is the organisation from their customers?;How dependent is the organisation from their customers?;Hoe afhankelijk is de onderneming van haar klanten?
DEF;Please give a description of the dependency of customers;Please give a description of the dependency of customers;Geef een omschrijving van de afhankelijkheid van deze klanten
