COMPONENT;KEY;EN;NL
DEF;Onderhoud machines/installaties;Inventory and machine expenses;Inventaris en machines
DEF;Contributies en abonnementen;IT expenses;Automatiseringskosten
DEF;Overige algemene beheerskosten;Office expenses;Kantoorkosten
crm;referenceId;Reference ID;AO-nummer
crm;referenceidtextfield.customer_reference_already_exists;Reference ID already exits;AO-nummer bestaat al
crm;referenceidtextfield.PatternValidator;${input} can’t be used as a reference ID. Use only letters, numbers, spaces, hyphens, and horizontal stripes.;${input} kan niet worden gebruikt als AO-nummer. Gebruik alleen letters, cijfers, spaties, koppeltekens en liggende strepen.
crm;referenceidtextfield.Required;Reference ID required;U dient een AO-nummer in te voeren!
crm;group;Franchise formula;Franchise formule
k3;Bright;Bright;Bright
DEF;Financiele score;Financial score;Financiële score
dashboard;activa;Assets;Activa
dashboard;passiva;Equity and liabilities;Passiva
dashboard;resultaat;Profit and loss;Resultatenrekening
dashboard;groei;Growth/development;Groei/ontwikkeling
k3;AO_number;AO number;AO nummer
k3;customer_formula;Franchise formula;Franchise formule
k3;stateOrProvince;Province;Provincie
k3;entrepreneur_title;Title;Aanhef ondernemer
k3;entrepreneur_first_name;First name;Voornaam ondernemer
k3;entrepreneur_last_name;Last name;Achternaam ondernemer
k3;legal_status_description;Legal form;Rechtsvorm
k3;legal_status_code;Legal form id;Rechtsvorm id
k3;account_manager;Accountmanager;Contactpersoon
k3;contract_end_date;End date of contract;Einddatum contract
k3;contract_start_date;Start date of contract;Begindatum contract
k3;central_billing_status;Central billing status;Status centrale facturatie
k3;store_type;Store type;Winkeltype
k3;register_type;Register type;Type winkelsysteem
k3;dashboard;Dashboard;Dashboard
k3;officeNumber;Phone number;Telefoonnummer
k3;email;E-mail address;E-mail adres
k3;Historie;Actuals;Jaarcijfers
k3;history;Actuals;Jaarcijfers
history;app;Actuals;Jaarcijfers
k3;historical_data;Historical data;Jaarcijfers
k3;historical_figures;Historical figures;Jaarcijfers
k3;history_overview;History overview;Jaarcijfers overzicht
k3;history_project;History project;Jaarcijfers project
js;customer;Enterprise;Onderneming
js;benchmark;Peer group;Referentie groep
k3;benchmark_prefix;"Peer group ";"Referentie groep "
dashboard;bright-dashboard-button-title;Dashboard;Dashboard
dashboard;bright-tables-button-title;Financials;Jaarcijfers
DEF;BBIHintSolvency;;De mate waarin de onderneming in staat vreemd is vermogen af te lossen. Hoe hoger de score des te beter.
DEF;BBIHintSalesIndex;;De omzetgroei of -daling ten opzichte van vorig jaar.
DEF;BBIHintResultToSales;;Laat zien hoe rendabel de onderneming is.
DEF;BBIHintCurrentRatio;;Toont de liquiditieit van de onderneming aan.
DEF;BBIHintInventoryTurnover;;Toont aan hoe lang de voorraad in de winkel ligt en hoe snel dit in geld omgezet wordt.
DEF;BBIHintStoreScore;;Beoordeling exterieur, interieur, schap indeling/ uitstraling & zagerij van de winkel.
DEF;BBIHintPersonnelScore;;Beoordeling personeel: aanwezigheid, herkenbaarheid, klantcontact, motivatie & expertise.
DEF;BBIHintEntrepreneurScore;;Beoordeling ondernemer: aanwezigheid, herkenbaarheid, klantcontact, motivatie & expertise van de ondernemer.
DEF;BBIHintLocationScore;;Waar is winkel gevestigd, woonwijk, bedrijventerrein, stad/dorpskern en bereikbaarheid.
DEF;Owns land and buildings;Real estate?;Onroerend goed?
DEF;Latest historical year;;Laatste jaarcijfers
DEF;Grootte referentiegroep;Count;Aantal
DEF;Totaal oppervlakte (m2);Surface (m2);Oppervlakte (m2)
DEF;Datum laatste bezoek;Last visit;Laatste bezoek
k3;createdBy;Created by;Created by
dashboard;franchise-logo-alt;Franchise logo;Franchise logo
