COMPONENT;KEY;EN;NL
DEF;rating with benchmark module;rating with benchmark module;rating met benchmark module
DEF;FRBReport-Indicatieve URA rating;Indicatieve URA rating;Indicatieve URA rating
DEF;customer rating;customer rating;klantrating
DEF;probability of default;probability of default;uitvalswaarschijnlijkheid
DEF;URA rating class;URA rating class;URA rating klasse
DEF;benchmark rating;benchmark rating;benchmark rating
DEF;priori;priori;priori
DEF;a priori;a priori;a priori uitvalswaarschijnlijkheid
DEF;linear approximation;linear approximation;lineaire benadering
DEF;inverse linear approximation;inverse linear approximation;inverse lineair benadering
DEF;parameters;parameters;parameters
DEF;power parameter;power parameter;machtsparameter
DEF;offset parameter;offset parameter;verplaatsingsparameter
DEF;FRBReport-BasicRatingComment;The rating gives a judgement of the credit worthiness of the company and is expressed as a probability of default. The following classification can be made;De rating geeft een oordeel over de algemene kredietwaardigheid van de onderneming en wordt uitgedrukt in een uitvalwaarschijnlijkheidspercentage. Hierin kan de volgende verdeling worden gemaakt
DEF;FRBReport-BasicRatingCommentLT1;The company has sufficient means to fullfill her financial obligations and should be able to survive economic influences like a recession.;De onderneming heeft voldoende middelen om aan haar financiële verplichtingen te voldoen en is voldoende bestand tegen bedrijfseconomische invloeden, zoals een recessie.
DEF;FRBReport-BasicRatingComment1to3;At the moment, the company has sufficient means to fulfill her financial obligations but can be challenged by economic influences like a recession.;De onderneming heeft momenteel voldoende middelen om aan haar financiële verplichtingen te voldoen maar is slecht bestand tegen bedrijfseconomische invloeden, zoals een recessie.
DEF;FRBReport-BasicRatingCommentGT3;There is a high risk that the company does not have sufficient means to fulfill her financial obligations.;Er is een hoog risico dat de onderneming onder de huidige omstandigheden niet aan haar financiële verplichtingen kan voldoen.
DEF;FRBReport-A Priori;A Priori;Nederland
DEF;FRBReport-BasisRatingReport;Basic rating report;Basisrating rapport
DEF;FRBReport-Customer data;Customer data;Klantgegevens
DEF;FRBReport-Branch;Branch;Branche
DEF;FRBReport-Customer name;Customer name;Klantnaam
DEF;FRBReport-City;City;Plaats
DEF;FRBReport-Legal form;Legal form;Rechtsvorm
DEF;FRBReport-Years;Years;Jaren
DEF;FRBReport-Indicatieve URA rating;URA rating indication;Indicatieve URA-rating
DEF;FRBReport-Disclaimer basic rating;Deze rapportage is alleen bedoeld voor de geadresseerden. Aan dit rapport kunnen geen rechten worden ontleend. Zowel SRA als haar aangesloten leden kunnen niet aansprakelijk worden gesteld voor eventuele schade als gevolg van een onjuiste of onvolledige weergave van de gegevens in dit rapport. Op de in dit rapport opgenomen gegevens is geen accountantscontrole toegepast.;Deze rapportage is alleen bedoeld voor de geadresseerden. Aan dit rapport kunnen geen rechten worden ontleend. Zowel SRA als haar aangesloten leden kunnen niet aansprakelijk worden gesteld voor eventuele schade als gevolg van een onjuiste of onvolledige weergave van de gegevens in dit rapport. Op de in dit rapport opgenomen gegevens is geen accountantscontrole toegepast.
DEF;FRBReport-Peer group;Peer group;Referentiegroep
DEF;FRBReport-Peer group size;Peer group size;Aantal in groep
DEF;FRBReport-Legal personality;Legal personality;Rechtspersoonlijkheid
DEF;FRBReport-Size;Size;Omvang
DEF;FRBReport-Region;Region;Regio
DEF;FRBReport-Base;Base;Grondslag
DEF;FRBReport-Status;Status;Status
DEF;FRBReport-Rating;Rating;Rating
DEF;FRBReport-BranchRating;Branch rating;Rating branche
DEF;FRBReport-PrioriRating;Priori rating;Rating Nederland
