COMPONENT;KEY;EN;NL
report;monthly;monthly;maand
report;two monthly;two monthly;twee maanden
report;quarterly;quarterly;kwartaal
report;half yearly;half yearly;half jaar
report;yearly;yearly;jaar
report;family house;family house;eengezinswoning
report;family house with garage;family house with garage;eengezinswoning met garage
report;flat / appartement;flat / appartement;flat/appartement
report;flat / appartement with garage;flat / appartement with garage;flat/appartement met garage
report;store-house;store-house;winkel-woonhuis
report;house with commercial space;house with commercial space;woonhuis met bedrijfsruimte
report;shop;shop;winkel
report;office;office;bedrijfspand
report;holiday home;holiday home;recreatiewoning
report;farm;farm;boerderij
report;business collateral;business collateral;zakelijk onderpand
report;agricultural land / plot;agricultural land / plot;agrarische grond/bouwgrond
report;garage;garage;garage
report;building site;building site;bouwkavel
report;houseboat;houseboat;woonschip
report;schip;schip;schip
report;airplane;airplane;vliegtuig
report;other;other;anders
crm;triodoshistoryexportpanel;AQR Report;AQR Rapportage
prognose;forecast_reset_message;All figures and settings in this project will be reset using the currently available history figures. Are you sure to continue?;Alle cijfers en instellingen van dit project worden hersteld op basis van de huidige beschikbare historische cijfers. Weet u zeker dat u door wilt gaan?
scorecard;TDSCREVIEWPROPOSAL;Review Proposal;Review Proposal
k3;result;Results;Resultaten
k3;no_historic_data_found;No history figures found for this customer. History figures are needed to create a forecast.;Er zijn geen historische cijfers aangetroffen voor deze cliënt. Zonder historische cijfers kan er geen prognose gemaakt worden.
scorecard;FBL namespace does not match template namespace;FBL namespace does not match template namespace;FBL namespace komt niet overeen met template namespace
scorecard;Synchronization failed No agreements in Force for this process;No agreements found for this process;Geen process gevonden
prognose;longtermdebt-liquidity;Longterm debt;Langlopende lening
prognose;longtermdebt-new;Longterm debt;Nieuwe langlopende lening
prognose;longtermdebtother-new;Other longterm debt;Nieuwe andere langlopende lening
prognose;longtermdebtother-prognose;Other longterm debt;Andere langlopende lening
prognose;longtermdebtother-liquidity;Other longterm debt;Overige langlopende lening
prognose;longtermdebtothercat2-new;Trade debts;Nieuwe andere langlopende lening (cat2)
prognose;longtermdebtothercat2-prognose;Trade debts;Andere langlopende lening (cat2)
prognose;longtermdebtothercat2-liquidity;Trade debts;Overige langlopende lening (cat2)
prognose;longtermdebtothercat3-new;Unsubordinated debts;Nieuwe andere langlopende lening (cat3)
prognose;longtermdebtothercat3-prognose;Unsubordinated debts;Andere langlopende lening (cat3)
prognose;longtermdebtothercat3-liquidity;Unsubordinated debts;Overige langlopende lening (cat3)
prognose;longtermdebtothercat4-new;Leasing and similar;Nieuwe andere langlopende lening (cat4)
prognose;longtermdebtothercat4-prognose;Leasing and similar;Andere langlopende lening (cat4)
prognose;longtermdebtothercat4-liquidity;Leasing and similar;Overige langlopende lening (cat4)
prognose;longtermdebtother-prognose;Other longterm debt;Andere langlopende lening
prognose;longtermdebt-prognose;Longterm debt;Langlopende lening
scorecard;Synchronization failed No source document found;No history found for this process;Geen historie gevonden voor dit proces
scorecard;Collateral allocated to wrong facility;Collateral wrongly allocated to the top facility. Allocate the collateral to the facility that contains the product.;Zekerheid is gekoppeld aan de top faciliteit. Alloceer de zekerheid aan de faciliteit die het product bevat.
scorecard;Income Statement;Profit and Loss Account;Winst- en Verliesrekening
prognose;capital;Capital;Vermogen
k3;locked_by_other_user_message;This view is being displayed as read-only because user {0} is viewing it with write permissions.;Deze weergave wordt weergegeven als alleen-lezen omdat gebruiker {0} het aan het bekijken is met schrijfrechten.
proposal;Nieuw;New;New
proposal;Ongewijzigd;Unchanged;Unchanged
proposal;TeBeeindigen;To be Ended;To be Ended
proposal;Gewijzigd;Changed;Changed
proposal;TeReviseren;To review;To review
proposal;TeReviserenGewijzigd;To review, changed;To review, changed
proposal;Beeindigd;Ended;Ended
budget;select_years;Select the number of years to be added;Selecteer het aantal toe te voegen jaren
budget;add_new_budget;New client forecast;Nieuwe klantverwachting
budget;create_budget;New client forecast;Nieuwe klantverwachting
budget;new_budget;New client forecast;Nieuwe klantverwachting
budget;new_budget_wizard;New client forecast;Nieuwe klantverwachting
